거래일자,지역,연료원,발전량
2018-01-20,제주도,유류,6996.396736
2018-01-20,충청남도,유류,0
2018-01-20,충청북도,유류,1169.350224
2018-01-20,강원도,LNG,0.48468
2018-01-20,경기도,LNG,154955.4556
2018-01-20,경상북도,LNG,6694.562913
2018-01-20,광주시,LNG,1746.72848
2018-01-20,대구시,LNG,8006.99312
2018-01-20,부산시,LNG,9530.124788
2018-01-20,서울시,LNG,964.084376
2018-01-20,세종시,LNG,12100.1907
2018-01-20,울산시,LNG,22441.00588
2018-01-20,인천시,LNG,49735.23529
2018-01-20,전라남도,LNG,37381.84943
2018-01-20,전라북도,LNG,2845.973567
2018-01-20,충청남도,LNG,16554.60743
2018-01-20,대전시,LNG,598.834404
2018-01-21,강원도,석탄,74573.71944
2018-01-21,경기도,석탄,1135.529892
2018-01-21,경상남도,석탄,158200.4738
2018-01-21,경상북도,석탄,2551.878392
2018-01-21,대구시,석탄,11.852904
2018-01-21,부산시,석탄,0
2018-01-21,인천시,석탄,113115.1901
2018-01-21,전라남도,석탄,29967.41741
2018-01-21,전라북도,석탄,17447.31967
2018-01-21,충청남도,석탄,322492.9596
2018-01-21,경기도,유류,198.519888
2018-01-21,경상남도,유류,321.81954
2018-01-21,대구시,유류,552.389488
